No Urut,Nama sampel kopi,"TGS
2600","TGS
2602","TGS
2611","TGS
2620","TGS
813","TGS
816","TGS
821","TGS
822","TGS
826","TGS
832"
1,Arabika Bali Kintamani 1,0.2211,1.6405,0.0043,0.2346,0.0877,0.0963,0.0065,1.0738,0.0999,0.3672
2,Arabika Bali Kintamani 2,0.2211,1.6405,0.0043,0.2346,0.0877,0.0963,0.0065,1.0738,0.0999,0.3672
3,Arabika Bali Kintamani 3,0.2167,1.6179,0.0042,0.2301,0.084,0.0937,0.0057,1.2188,0.0974,0.3646
4,Arabika Bali Kintamani 4,0.1659,1.2404,0.005,0.1759,0.0642,0.0726,0.006,0.8544,0.0763,0.2787
5,Arabika Bali Kintamani 5,0.1907,1.3853,0.0056,0.2018,0.0764,0.0857,0.0059,1.021,0.0893,0.3385
6,Arabika Bali Kintamani 6,0.1765,1.2329,0.0057,0.1882,0.0652,0.0745,0.0052,1.0053,0.0818,0.3119
7,Arabika Bali Kintamani 7,0.1251,0.7423,0.0047,0.1321,0.0466,0.0532,0.0046,0.5732,0.0592,0.2081
8,Arabika Dampit Malang 1,0.3705,1.6854,0.0083,0.3915,0.1693,0.1972,0.0272,0.8348,0.1695,0.4615
9,Arabika Dampit Malang 2,0.2211,1.6405,0.0043,0.2346,0.0877,0.0963,0.0065,1.0738,0.0999,0.3672
10,Arabika Dampit Malang 3,0.2637,1.4779,0.0042,0.2666,0.1306,0.1544,0.0163,0.7446,0.0977,0.3107
11,Arabika Dampit Malang 4,0.2365,1.3463,0.0032,0.242,0.1194,0.1406,0.0153,0.644,0.0905,0.2788
12,Arabika Dampit Malang 5,0.2205,1.3413,0.0032,0.2296,0.111,0.1326,0.0158,0.6067,0.0919,0.2847
13,Arabika Dampit Malang 6,0.182,0.735,0.0039,0.1931,0.0916,0.1095,0.0153,0.431,0.0741,0.2007
14,Arabika Dampit Malang 7,0.1785,0.8828,0.003,0.1919,0.0905,0.1099,0.0135,0.5139,0.0716,0.2165
15,Arabika Flores Bajawa 1,0.3357,1.9369,0.0041,0.3641,0.1311,0.1527,0.015,1.8002,0.206,0.653
16,Arabika Flores Bajawa 2,0.2312,1.4689,0.0028,0.2338,0.0893,0.106,0.0124,1.005,0.1171,0.3827
17,Arabika Flores Bajawa 3,0.2137,1.3311,0.0036,0.2235,0.0783,0.0939,0.0106,1.2645,0.109,0.3788
